orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3610603	Dshi_3984		hypothetical protein (RefSeq)	1	0.426716035107533	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3607671	Dshi_1080		integral membrane sensor signal transduction histidine kinase (RefSeq)	2	0.391007124306109	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3610590	Dshi_3971		hypothetical protein (RefSeq)	3	0.387736783219568	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3607925	Dshi_1333		DEAD/DEAH box helicase domain protein (RefSeq)	4	0.378079769018641	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3609729	Dshi_3112		nonspecific acid phosphatase (RefSeq)	5	0.344938681123485	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3608183	Dshi_1588		protein of unknown function DUF218 (RefSeq)	6	0.343732185206922	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3609821	Dshi_3204		Chitin deacetylase (RefSeq)	7	0.335459831020809	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3610831	Dshi_4217		transcriptional regulator, LacI family (RefSeq)	8	0.33445646238398	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3610591	Dshi_3972		hypothetical protein (RefSeq)	9	0.326074861027846	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3607776	Dshi_1185		dimethyladenosine transferase (RefSeq)	10	0.325962380584494	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3610754	Dshi_4140		sulfotransferase (RefSeq)	11	0.31604127963089	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3609590	Dshi_2974		UBA/THIF-type NAD/FAD binding protein (RefSeq)	12	0.312910486492217	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3607604	Dshi_1013		apolipoprotein N-acyltransferase (RefSeq)	13	0.306465668145432	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3607426	Dshi_0840		transcriptional regulator, MerR family (RefSeq)	14	0.305782630250009	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3607633	Dshi_1042		Tripartite ATP-independent periplasmic transporter DctQ component (RefSeq)	15	0.302530539886118	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3607882	Dshi_1290		molybdenum cofactor biosynthesis protein A (RefSeq)	16	0.299364841943468	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3609693	Dshi_3076		transcription elongation factor GreA (RefSeq)	17	0.297781850203939	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3608919	Dshi_2310		Ornithine cyclodeaminase (RefSeq)	18	0.297463054421493	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3609847	Dshi_3229		MiaB-like tRNA modifying enzyme (RefSeq)	19	0.290556894743705	FALSE
Dino	10177611	Dshi_0511		hypothetical protein (RefSeq)	3609144	Dshi_2532		twin-arginine translocation pathway signal (RefSeq)	20	0.286487597909479	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3609755	Dshi_3138		alpha/beta hydrolase fold (RefSeq)	1	0.423032523294587	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3610449	Dshi_3830		Glycerol-3-phosphate dehydrogenase (NAD(P)(+)) (RefSeq)	2	0.3581101553672	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3606926	Dshi_0354		NAD(P)H dehydrogenase (quinone) (RefSeq)	3	0.352389888299208	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3606909	Dshi_0337		ATPase MipZ (RefSeq)	4	0.339943318590656	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3608774	Dshi_2166		hypothetical protein (RefSeq)	5	0.337858946627926	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3610445	Dshi_3826		3-hydroxyacyl-CoA dehydrogenase NAD-binding (RefSeq)	6	0.328128923280946	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3606586	Dshi_0018		multicopper oxidase type 2 (RefSeq)	7	0.323448982533722	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3609414	Dshi_2798		D-tyrosyl-tRNA(Tyr) deacylase (RefSeq)	8	0.322094343519541	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3609373	Dshi_2758		transcriptional regulator, GntR family (RefSeq)	9	0.316278848191962	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3609615	Dshi_2998		MscS Mechanosensitive ion channel (RefSeq)	10	0.312731473734827	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3609182	Dshi_2570		transcriptional regulator, GntR family (RefSeq)	11	0.308525972665608	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3606827	Dshi_0257		peptidase S8 and S53 subtilisin kexin sedolisin (RefSeq)	12	0.306126259595605	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3607934	Dshi_1342		Helix-turn-helix type 11 domain protein (RefSeq)	13	0.3018679974003	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3609511	Dshi_2895		FAD linked oxidase domain protein (RefSeq)	14	0.299027169571689	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3608974	Dshi_2364		hypothetical protein (RefSeq)	15	0.298252101937184	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3607279	Dshi_0694		transcriptional regulator, GntR family (RefSeq)	16	0.29252254303528	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3608176	Dshi_1581		hypoxanthine phosphoribosyltransferase (RefSeq)	17	0.289187261454724	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3608603	Dshi_1996		xylose isomerase (RefSeq)	18	0.288790118950986	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3606764	Dshi_0195		hypothetical protein (RefSeq)	19	0.283506248764878	FALSE
Dino	10177612	Dshi_5001		hypothtical protein (RefSeq)	3609918	Dshi_3300		transcriptional regulator, MarR family (RefSeq)	20	0.282874540812272	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3607482	Dshi_0895		peptidase S1 and S6 chymotrypsin/Hap (RefSeq)	1	0.550973022452307	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3606808	Dshi_0238		hypothetical protein (RefSeq)	2	0.490366033760431	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3610081	Dshi_3462		Ham1 family protein (RefSeq)	3	0.436915294530262	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3610010	Dshi_3391		beta-lactamase domain protein (RefSeq)	4	0.436618033408181	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3607132	Dshi_0554		short-chain dehydrogenase/reductase SDR (RefSeq)	5	0.426996175529848	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3607059	Dshi_0480		hypothetical protein (RefSeq)	6	0.425357464073305	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3610024	Dshi_3405		DSBA oxidoreductase (RefSeq)	7	0.425124937653229	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3608514	Dshi_1909		hypothetical protein (RefSeq)	8	0.422056792784507	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3607131	Dshi_0553		short-chain dehydrogenase/reductase SDR (RefSeq)	9	0.420799626945574	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3607993	Dshi_1401		ABC transporter related (RefSeq)	10	0.420269760542525	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3610070	Dshi_3451		maf protein (RefSeq)	11	0.417997376681244	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3609397	Dshi_2782		PAS fold-4 domain protein (RefSeq)	12	0.417356613861451	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3607048	Dshi_0469		hypothetical protein (RefSeq)	13	0.417198394668184	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3607045	Dshi_0466		domain of unknown function DUF1745 (RefSeq)	14	0.413900723430183	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3607096	Dshi_0518		Monosaccharide-transporting ATPase (RefSeq)	15	0.413448957835768	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3609150	Dshi_2538		fumarylacetoacetate (FAA) hydrolase (RefSeq)	16	0.41189134498582	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3607046	Dshi_0467		histidine kinase (RefSeq)	17	0.409296496017289	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3608303	Dshi_1706		methionine-R-sulfoxide reductase (RefSeq)	18	0.408460038134346	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3608461	Dshi_1857		protein of unknown function DUF81 (RefSeq)	19	0.407924788916914	FALSE
Dino	10177613	Dshi_5007		hypothetical protein (RefSeq)	3607567	Dshi_0978		hypothetical protein (RefSeq)	20	0.404019599134013	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3610603	Dshi_3984		hypothetical protein (RefSeq)	1	0.410153249629687	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3610271	Dshi_3651		TrbL/VirB6 plasmid conjugal transfer protein (RefSeq)	2	0.378905972708086	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3610462	Dshi_3843		hypothetical protein (RefSeq)	3	0.356794044124189	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3607822	Dshi_1230		kynureninase (RefSeq)	4	0.349056726876265	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3607070	Dshi_0491		putative sulfonate/nitrate transport system substrate-binding protein (RefSeq)	5	0.348551457916072	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3610545	Dshi_3926		hypothetical protein (RefSeq)	6	0.347094112387724	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3608148	Dshi_1553		class II aldolase/adducin family protein (RefSeq)	7	0.340904219313677	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3607978	Dshi_1386		hypothetical protein (RefSeq)	8	0.334934147811898	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3607399	Dshi_0813		hypothetical protein (RefSeq)	9	0.33471157940127	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3606778	Dshi_0209		hypothetical protein (RefSeq)	10	0.333725438568855	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3610089	Dshi_3470		peptidase M48 Ste24p (RefSeq)	11	0.327683728089993	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3609983	Dshi_3364		hypothetical protein (RefSeq)	12	0.327596139416289	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3607519	Dshi_0931		Alcohol dehydrogenase GroES domain protein (RefSeq)	13	0.317123665999241	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3606987	Dshi_0408		protein of unknown function DUF955 (RefSeq)	14	0.315907710371611	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3610619	Dshi_4000		hypothetical protein (RefSeq)	15	0.315256679258375	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3610516	Dshi_3897		MgtC/SapB transporter (RefSeq)	16	0.314153218635726	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3607720	Dshi_1129		type II and III secretion system protein (RefSeq)	17	0.31345019015074	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3606670	Dshi_0101		hypothetical protein (RefSeq)	18	0.31236344271992	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3609918	Dshi_3300		transcriptional regulator, MarR family (RefSeq)	19	0.312263276343842	FALSE
Dino	10177614	Dshi_5005		hypothetical protein (RefSeq)	3607446	Dshi_0859		ABC transporter related (RefSeq)	20	0.308991600071102	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	1	0.890081555715567	TRUE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3608169	Dshi_1574		two component, sigma54 specific, transcriptional regulator, Fis family (RefSeq)	2	0.626897947975793	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3608171	Dshi_1576		putative TIM-barrel protein, nifR3 family (RefSeq)	3	0.600416670746422	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3607825	Dshi_1233		NAD(P) transhydrogenase, alpha subunit (RefSeq)	4	0.59934570250548	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3607826	Dshi_1234		NAD(P)(+) transhydrogenase (AB-specific) (RefSeq)	5	0.587497714358087	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3608170	Dshi_1575		signal transduction histidine kinase, nitrogen specific, NtrB (RefSeq)	6	0.576582747246953	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3608840	Dshi_2232		phasin, PhaP (RefSeq)	7	0.524460003064605	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3610549	Dshi_3930		transcriptional regulator, GntR family (RefSeq)	8	0.496557721951665	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3609684	Dshi_3067		acetoacetyl-CoA reductase (RefSeq)	9	0.486407334807518	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3610259	Dshi_3639		Conjugal transfer protein TrbC (RefSeq)	10	0.457316501161003	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3609821	Dshi_3204		Chitin deacetylase (RefSeq)	11	0.454084739353869	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3610480	Dshi_3861		UDP-glucose 6-dehydrogenase (RefSeq)	12	0.453502367545512	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3610304	Dshi_3684		hypothetical protein (RefSeq)	13	0.441692759731535	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3609636	Dshi_3019		hypothetical protein (RefSeq)	14	0.42439374035043	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3607958	Dshi_1366		aminotransferase class-III (RefSeq)	15	0.423352077621909	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3608575	Dshi_5004		D-lactate dehydrogenase (RefSeq)	16	0.421568307814027	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3609984	Dshi_3365		flagellar hook capping protein (RefSeq)	17	0.41815346999558	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3609658	Dshi_3041		ribosome-binding factor A (RefSeq)	18	0.414773301115447	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3607536	Dshi_0948		L-lactate dehydrogenase (cytochrome) (RefSeq)	19	0.412583241823282	FALSE
Dino	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	3607955	Dshi_1363		dihydroorotate dehydrogenase family protein (RefSeq)	20	0.409827250554333	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3606569	Dshi_0001		glutamate synthase, small subunit (RefSeq)	1	0.890081555715567	TRUE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3608169	Dshi_1574		two component, sigma54 specific, transcriptional regulator, Fis family (RefSeq)	2	0.655679057486526	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3608170	Dshi_1575		signal transduction histidine kinase, nitrogen specific, NtrB (RefSeq)	3	0.610247533180344	TRUE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3608171	Dshi_1576		putative TIM-barrel protein, nifR3 family (RefSeq)	4	0.596216145550131	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3607825	Dshi_1233		NAD(P) transhydrogenase, alpha subunit (RefSeq)	5	0.594454919944565	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3607826	Dshi_1234		NAD(P)(+) transhydrogenase (AB-specific) (RefSeq)	6	0.583476230567979	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3610549	Dshi_3930		transcriptional regulator, GntR family (RefSeq)	7	0.514532934577068	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3608575	Dshi_5004		D-lactate dehydrogenase (RefSeq)	8	0.4615056445939	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3609684	Dshi_3067		acetoacetyl-CoA reductase (RefSeq)	9	0.457616702202952	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3609821	Dshi_3204		Chitin deacetylase (RefSeq)	10	0.438643921315711	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3609636	Dshi_3019		hypothetical protein (RefSeq)	11	0.40954294914252	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3607533	Dshi_0945		Peptidoglycan-binding domain 1 protein (RefSeq)	12	0.406998197326742	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3606811	Dshi_0241		large conductance mechanosensitive channel protein (RefSeq)	13	0.401132999644341	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3608445	Dshi_1841		hypothetical protein (RefSeq)	14	0.393677821578276	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3607316	Dshi_0731		NADH dehydrogenase (quinone) (RefSeq)	15	0.385924823100177	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3608572	Dshi_1966		dihydrolipoamide dehydrogenase (RefSeq)	16	0.38246562980741	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3608263	Dshi_1667		nitrite reductase (NAD(P)H), large subunit (RefSeq)	17	0.380845657570726	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3610304	Dshi_3684		hypothetical protein (RefSeq)	18	0.380358444075797	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3609936	Dshi_3318		D-3-phosphoglycerate dehydrogenase (RefSeq)	19	0.380132396674187	FALSE
Dino	3606570	Dshi_0002		Glutamate synthase (ferredoxin) (RefSeq)	3608573	Dshi_1967		catalytic domain of components of various dehydrogenase complexes (RefSeq)	20	0.372727115650648	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3607955	Dshi_1363		dihydroorotate dehydrogenase family protein (RefSeq)	1	0.363635011524507	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3607954	Dshi_1362		FAD-dependent pyridine nucleotide-disulphide oxidoreductase (RefSeq)	2	0.299179051700872	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3610094	Dshi_3475		protein of unknown function DUF849 (RefSeq)	3	0.296342010631684	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3610346	Dshi_3727		ABC transporter related (RefSeq)	4	0.277160723612859	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3609066	Dshi_2455		AAA ATPase central domain protein (RefSeq)	5	0.274962143372118	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3609634	Dshi_3017		aldehyde dehydrogenase (RefSeq)	6	0.267125498397221	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3609333	Dshi_2718		transcriptional regulator, XRE family (RefSeq)	7	0.266029387321225	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3609840	Dshi_3223		DNA binding domain, excisionase family (RefSeq)	8	0.257796065135837	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3608431	Dshi_1828		thiamine pyrophosphate protein central region (RefSeq)	9	0.2561471328435	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3609876	Dshi_3258		flagellar biosynthesis protein FlhA (RefSeq)	10	0.254633153197851	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3608432	Dshi_1829		FAD dependent oxidoreductase (RefSeq)	11	0.253845267622263	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3608391	Dshi_1791		Lysine exporter protein (LYSE/YGGA) (RefSeq)	12	0.252589506851948	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3608017	Dshi_1424		inner-membrane translocator (RefSeq)	13	0.249939452927797	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3608425	Dshi_1822		arsenical-resistance protein (RefSeq)	14	0.244389411993062	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3606676	Dshi_0107		Rubrerythrin (RefSeq)	15	0.243212614183476	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3610606	Dshi_3987		hypothetical protein (RefSeq)	16	0.241923659434836	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3607596	Dshi_1005		putative ribonuclease BN (RefSeq)	17	0.240430692703303	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3610725	Dshi_4110		hypothetical protein (RefSeq)	18	0.234382096188315	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3608136	Dshi_1541		Amidohydrolase 3 (RefSeq)	19	0.234271248938428	FALSE
Dino	3606572	Dshi_0004		hypothetical protein (RefSeq)	3606949	Dshi_0377		hypothetical protein (RefSeq)	20	0.23401577265384	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3607985	Dshi_1393		hypothetical protein (RefSeq)	1	0.331379658707486	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3609851	Dshi_3233		NLP/P60 protein (RefSeq)	2	0.310277268825344	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3608792	Dshi_2184		cytochrome B561 (RefSeq)	3	0.287184175105712	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3607895	Dshi_1303		Hydroxymethylglutaryl-CoA lyase (RefSeq)	4	0.282232129726141	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3610834	Dshi_4220		protein of unknown function DUF112 transmembrane (RefSeq)	5	0.280938539622152	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3607789	Dshi_1198		beta-lactamase (RefSeq)	6	0.273220823562595	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3608826	Dshi_2218		thioesterase superfamily protein (RefSeq)	7	0.271722764920003	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3610602	Dshi_3983		type II secretion system protein E (RefSeq)	8	0.269438631842941	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3609089	Dshi_2478		Lysine exporter protein (LYSE/YGGA) (RefSeq)	9	0.266323667770781	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3607342	Dshi_0757		selenium-binding protein (RefSeq)	10	0.265751084377681	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3608479	Dshi_1875		protein of unknown function DUF417 (RefSeq)	11	0.260209971886676	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3607965	Dshi_1373		binding-protein-dependent transport systems inner membrane component (RefSeq)	12	0.258264836029308	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3607000	Dshi_0421		phospholipase D/Transphosphatidylase (RefSeq)	13	0.257435513988043	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3610774	Dshi_4160		light-dependent protochlorophyllide reductase (RefSeq)	14	0.257231883321356	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3609055	Dshi_2444		4-hydroxythreonine-4-phosphate dehydrogenase (RefSeq)	15	0.255015281344218	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3607878	Dshi_1286		hypothetical protein (RefSeq)	16	0.25235129512046	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3608425	Dshi_1822		arsenical-resistance protein (RefSeq)	17	0.251634461475643	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3610466	Dshi_3847		ParB domain protein nuclease (RefSeq)	18	0.250483568213106	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3609754	Dshi_3137		hypothetical protein (RefSeq)	19	0.246621800257185	FALSE
Dino	3606573	Dshi_0005		hypothetical protein (RefSeq)	3607028	Dshi_0449		two component transcriptional regulator, winged helix family (RefSeq)	20	0.24623085727254	FALSE
Dino	3606576	Dshi_0008		hypothetical protein (RefSeq)	3609297	Dshi_2683		Aldose 1-epimerase (RefSeq)	1	0.570787437016432	FALSE
Dino	3606576	Dshi_0008		hypothetical protein (RefSeq)	3608561	Dshi_1955		short-chain dehydrogenase/reductase SDR (RefSeq)	2	0.559539735691469	FALSE
Dino	3606576	Dshi_0008		hypothetical protein (RefSeq)	3607183	Dshi_0604		amidohydrolase 2 (RefSeq)	3	0.558072652070187	FALSE
Dino	3606576	Dshi_0008		hypothetical protein (RefSeq)	3607490	Dshi_0903		hypothetical protein (RefSeq)	4	0.55207714483851	FALSE
Dino	3606576	Dshi_0008		hypothetical protein (RefSeq)	3606754	Dshi_0185		phosphatidate cytidylyltransferase (RefSeq)	5	0.534454647976684	FALSE
Dino	3606576	Dshi_0008		hypothetical protein (RefSeq)	3606998	Dshi_0419		major facilitator superfamily MFS_1 (RefSeq)	6	0.527686082171255	FALSE
Dino	3606576	Dshi_0008		hypothetical protein (RefSeq)	3609067	Dshi_2456		hypothetical protein (RefSeq)	7	0.523099434632829	FALSE
Dino	3606576	Dshi_0008		hypothetical protein (RefSeq)	3607489	Dshi_0902		protein of unknown function DUF214 (RefSeq)	8	0.51455846433691	FALSE
Dino	3606576	Dshi_0008		hypothetical protein (RefSeq)	3610192	Dshi_3573		ABC-2 type transporter (RefSeq)	9	0.509717416221065	FALSE
Dino	3606576	Dshi_0008		hypothetical protein (RefSeq)	3610109	Dshi_3490		ABC transporter related (RefSeq)	10	0.508129524022068	FALSE
Dino	3606576	Dshi_0008		hypothetical protein (RefSeq)	3608809	Dshi_2201		Putative protein-S-isoprenylcysteine methyltransferase-like protein (RefSeq)	11	0.504748532995295	FALSE
Dino	3606576	Dshi_0008		hypothetical protein (RefSeq)	3609251	Dshi_2637		magnesium-protoporphyrin IX monomethyl ester anaerobic oxidative cyclase (RefSeq)	12	0.503663351469202	FALSE
